activityId,assetId,companyId,currentTripCost,driverEmergencyButton,driverId,humidity,insertionTime,isOccupied,latLng2,numberOfPassengers,originalTime,passengerEmergencyButton,readingId,requestTime,sensorStatus,sfdaSensorStatus,temprature,velocity,weight,latLng,lat,long
24,105339,3,,,38565,0,2021-08-31T22:27:00,,0x00000000010C62122EE4117247406A317898F6E93840,,2021-08-31T22:26:00,,1AC6CF12-7CE1-494C-AF70-9B35E9C5AEE8,2021-08-31T22:27:00,2,,0,0,4500,0x00000000010C62122EE4117247406A317898F6E93840,24.913919,46.891171
24,90310,3,,,57074,0,2021-08-31T22:27:00,,0x00000000010CC68A1A4CC3804740501BD5E940F23840,,2021-08-31T22:26:00,,C83B96AF-652B-4CCA-90CD-3B3F066FA568,2021-08-31T22:27:00,3,,0,74,8949.719727,0x00000000010CC68A1A4CC3804740501BD5E940F23840,24.946303,47.00596
24,140991,3,,,23824,0,2021-08-31T22:27:00,,0x00000000010C55F833BC59D9444051BB5F05F8863B40,,2021-08-31T22:27:00,,A25A5492-714F-402F-998D-1AC0856B7B24,2021-08-31T22:27:00,1,,0,0,3850,0x00000000010C55F833BC59D9444051BB5F05F8863B40,27.527222,41.698051
24,64118,3,,,43704,0,2021-08-31T22:27:00,,0x00000000010CCBA0DAE044F24840965CC5E237213A40,,2021-08-31T22:26:00,,F9FC7625-C41D-4E31-B2CC-BD5878889C5C,2021-08-31T22:27:00,2,,0,0,27574.58984,0x00000000010CCBA0DAE044F24840965CC5E237213A40,26.129759,49.892727
24,73217,3,,,49288,0,2021-08-31T22:27:00,,0x00000000010C83A5BA80978544408A7780272DE43540,,2021-08-31T22:26:00,,FA82F6E7-9457-4D27-A16C-E185255A587B,2021-08-31T22:27:00,1,,0,0,43822.66016,0x00000000010C83A5BA80978544408A7780272DE43540,21.891314,41.043686
24,95520,3,,,,0,2021-08-31T22:27:00,,0x00000000010CF7C9518028E845407769C36169483A40,,2021-08-31T22:23:00,,B3AAA7D5-4B34-43D2-B12C-D5E61553CD0F,2021-08-31T22:27:00,2,,0,0,7500,0x00000000010CF7C9518028E845407769C36169483A40,26.282858,43.813736
24,64662,3,,,45089,0,2021-08-31T22:27:00,,0x00000000010C70B54E5C8E974840F302ECA3531F3B40,,2021-08-31T22:26:00,,8AB9107B-D17F-41C2-A00B-38781B4CD9F4,2021-08-31T22:27:00,3,,0,87,7940,0x00000000010C70B54E5C8E974840F302ECA3531F3B40,27.12237,49.184032
24,140399,3,,,,0,2021-08-31T22:27:00,,0x00000000010C9BE447FC8AFD4840DB6D179AEB403A40,,2021-08-31T22:27:00,,B6B37366-2033-4320-A791-C0F67194FDC0,2021-08-31T22:27:00,1,,0,0,19210.5,0x00000000010C9BE447FC8AFD4840DB6D179AEB403A40,26.253595,49.980804
24,53702,3,,,37365,0,2021-08-31T22:27:00,,0x00000000010C0DFAD2DB9F9F4240CAFD0E4581323940,,2021-08-31T22:26:00,,952E6D3E-6061-4C5D-ABA9-8CFECADDDC37,2021-08-31T22:27:00,3,,0,55,29820.75977,0x00000000010C0DFAD2DB9F9F4240CAFD0E4581323940,25.197285,37.247066
24,39760,3,,,29135,0,2021-08-31T22:27:00,,0x00000000010C9126DE019ED04840569BFF571DFD3A40,,2021-08-31T22:26:00,,96A27C12-1C07-487F-95E4-08CF07748A90,2021-08-31T22:27:00,2,,0,0,7500,0x00000000010C9126DE019ED04840569BFF571DFD3A40,26.988729,49.629822
24,86853,3,,,56251,0,2021-08-31T22:27:00,,0x00000000010C300E2E1D734E4740AB05F69848753840,,2021-08-31T22:26:00,,18E5AADA-B02A-45C1-A3DE-A107753B6837,2021-08-31T22:27:00,1,,0,0,24740,0x00000000010C300E2E1D734E4740AB05F69848753840,24.458139,46.612888
